value,node_id,position
1929,4:7bf987aa-a3d8-4759-97a2-84de2407046d:58,0
1930,4:7bf987aa-a3d8-4759-97a2-84de2407046d:89,1
1930,4:7bf987aa-a3d8-4759-97a2-84de2407046d:98,2
1930,4:7bf987aa-a3d8-4759-97a2-84de2407046d:99,3
1931,4:7bf987aa-a3d8-4759-97a2-84de2407046d:96,4
1932,4:7bf987aa-a3d8-4759-97a2-84de2407046d:153,5
1933,4:7bf987aa-a3d8-4759-97a2-84de2407046d:33,6
1937,4:7bf987aa-a3d8-4759-97a2-84de2407046d:17,7
1938,4:7bf987aa-a3d8-4759-97a2-84de2407046d:138,8
1939,4:7bf987aa-a3d8-4759-97a2-84de2407046d:112,9
1940,4:7bf987aa-a3d8-4759-97a2-84de2407046d:119,10
1940,4:7bf987aa-a3d8-4759-97a2-84de2407046d:13,11
1940,4:7bf987aa-a3d8-4759-97a2-84de2407046d:55,12
1940,4:7bf987aa-a3d8-4759-97a2-84de2407046d:65,13
1941,4:7bf987aa-a3d8-4759-97a2-84de2407046d:36,14
1941,4:7bf987aa-a3d8-4759-97a2-84de2407046d:72,15
1942,4:7bf987aa-a3d8-4759-97a2-84de2407046d:51,16
1942,4:7bf987aa-a3d8-4759-97a2-84de2407046d:59,17
1943,4:7bf987aa-a3d8-4759-97a2-84de2407046d:149,18
1943,4:7bf987aa-a3d8-4759-97a2-84de2407046d:166,19
1943,4:7bf987aa-a3d8-4759-97a2-84de2407046d:24,20
1944,4:7bf987aa-a3d8-4759-97a2-84de2407046d:14,21
1944,4:7bf987aa-a3d8-4759-97a2-84de2407046d:142,22
1944,4:7bf987aa-a3d8-4759-97a2-84de2407046d:35,23
1946,4:7bf987aa-a3d8-4759-97a2-84de2407046d:118,24
1946,4:7bf987aa-a3d8-4759-97a2-84de2407046d:124,25
1946,4:7bf987aa-a3d8-4759-97a2-84de2407046d:155,26
1947,4:7bf987aa-a3d8-4759-97a2-84de2407046d:101,27
1947,4:7bf987aa-a3d8-4759-97a2-84de2407046d:27,28
1948,4:7bf987aa-a3d8-4759-97a2-84de2407046d:26,29
1948,4:7bf987aa-a3d8-4759-97a2-84de2407046d:82,30
1949,4:7bf987aa-a3d8-4759-97a2-84de2407046d:107,31
1949,4:7bf987aa-a3d8-4759-97a2-84de2407046d:156,32
1949,4:7bf987aa-a3d8-4759-97a2-84de2407046d:76,33
1949,4:7bf987aa-a3d8-4759-97a2-84de2407046d:84,34
1950,4:7bf987aa-a3d8-4759-97a2-84de2407046d:145,35
1950,4:7bf987aa-a3d8-4759-97a2-84de2407046d:79,36
1950,4:7bf987aa-a3d8-4759-97a2-84de2407046d:91,37
1951,4:7bf987aa-a3d8-4759-97a2-84de2407046d:151,38
1951,4:7bf987aa-a3d8-4759-97a2-84de2407046d:60,39
1952,4:7bf987aa-a3d8-4759-97a2-84de2407046d:7,40
1953,4:7bf987aa-a3d8-4759-97a2-84de2407046d:104,41
1953,4:7bf987aa-a3d8-4759-97a2-84de2407046d:132,42
1953,4:7bf987aa-a3d8-4759-97a2-84de2407046d:66,43
1953,4:7bf987aa-a3d8-4759-97a2-84de2407046d:75,44
1954,4:7bf987aa-a3d8-4759-97a2-84de2407046d:115,45
1954,4:7bf987aa-a3d8-4759-97a2-84de2407046d:163,46
1954,4:7bf987aa-a3d8-4759-97a2-84de2407046d:94,47
1955,4:7bf987aa-a3d8-4759-97a2-84de2407046d:134,48
1955,4:7bf987aa-a3d8-4759-97a2-84de2407046d:146,49
1956,4:7bf987aa-a3d8-4759-97a2-84de2407046d:164,50
1956,4:7bf987aa-a3d8-4759-97a2-84de2407046d:61,51
1956,4:7bf987aa-a3d8-4759-97a2-84de2407046d:71,52
1956,4:7bf987aa-a3d8-4759-97a2-84de2407046d:74,53
1956,4:7bf987aa-a3d8-4759-97a2-84de2407046d:80,54
1956,4:7bf987aa-a3d8-4759-97a2-84de2407046d:83,55
1957,4:7bf987aa-a3d8-4759-97a2-84de2407046d:131,56
1957,4:7bf987aa-a3d8-4759-97a2-84de2407046d:23,57
1957,4:7bf987aa-a3d8-4759-97a2-84de2407046d:30,58
1957,4:7bf987aa-a3d8-4759-97a2-84de2407046d:45,59
1958,4:7bf987aa-a3d8-4759-97a2-84de2407046d:103,60
1958,4:7bf987aa-a3d8-4759-97a2-84de2407046d:158,61
1958,4:7bf987aa-a3d8-4759-97a2-84de2407046d:19,62
1959,4:7bf987aa-a3d8-4759-97a2-84de2407046d:135,63
1959,4:7bf987aa-a3d8-4759-97a2-84de2407046d:136,64
1959,4:7bf987aa-a3d8-4759-97a2-84de2407046d:31,65
1960,4:7bf987aa-a3d8-4759-97a2-84de2407046d:123,66
1960,4:7bf987aa-a3d8-4759-97a2-84de2407046d:140,67
1960,4:7bf987aa-a3d8-4759-97a2-84de2407046d:4,68
1960,4:7bf987aa-a3d8-4759-97a2-84de2407046d:57,69
1961,4:7bf987aa-a3d8-4759-97a2-84de2407046d:110,70
1961,4:7bf987aa-a3d8-4759-97a2-84de2407046d:28,71
1961,4:7bf987aa-a3d8-4759-97a2-84de2407046d:3,72
1961,4:7bf987aa-a3d8-4759-97a2-84de2407046d:34,73
1961,4:7bf987aa-a3d8-4759-97a2-84de2407046d:42,74
1962,4:7bf987aa-a3d8-4759-97a2-84de2407046d:16,75
1962,4:7bf987aa-a3d8-4759-97a2-84de2407046d:18,76
1962,4:7bf987aa-a3d8-4759-97a2-84de2407046d:32,77
1962,4:7bf987aa-a3d8-4759-97a2-84de2407046d:39,78
1962,4:7bf987aa-a3d8-4759-97a2-84de2407046d:77,79
1963,4:7bf987aa-a3d8-4759-97a2-84de2407046d:165,80
1963,4:7bf987aa-a3d8-4759-97a2-84de2407046d:53,81
1963,4:7bf987aa-a3d8-4759-97a2-84de2407046d:54,82
1964,4:7bf987aa-a3d8-4759-97a2-84de2407046d:1,83
1965,4:7bf987aa-a3d8-4759-97a2-84de2407046d:108,84
1965,4:7bf987aa-a3d8-4759-97a2-84de2407046d:143,85
1965,4:7bf987aa-a3d8-4759-97a2-84de2407046d:6,86
1966,4:7bf987aa-a3d8-4759-97a2-84de2407046d:106,87
1966,4:7bf987aa-a3d8-4759-97a2-84de2407046d:125,88
1966,4:7bf987aa-a3d8-4759-97a2-84de2407046d:20,89
1966,4:7bf987aa-a3d8-4759-97a2-84de2407046d:50,90
1967,4:7bf987aa-a3d8-4759-97a2-84de2407046d:120,91
1967,4:7bf987aa-a3d8-4759-97a2-84de2407046d:148,92
1967,4:7bf987aa-a3d8-4759-97a2-84de2407046d:160,93
1967,4:7bf987aa-a3d8-4759-97a2-84de2407046d:2,94
1967,4:7bf987aa-a3d8-4759-97a2-84de2407046d:25,95
1967,4:7bf987aa-a3d8-4759-97a2-84de2407046d:5,96
1967,4:7bf987aa-a3d8-4759-97a2-84de2407046d:70,97
1968,4:7bf987aa-a3d8-4759-97a2-84de2407046d:102,98
1968,4:7bf987aa-a3d8-4759-97a2-84de2407046d:133,99
1968,4:7bf987aa-a3d8-4759-97a2-84de2407046d:22,100
1968,4:7bf987aa-a3d8-4759-97a2-84de2407046d:68,101
1968,4:7bf987aa-a3d8-4759-97a2-84de2407046d:90,102
1969,4:7bf987aa-a3d8-4759-97a2-84de2407046d:109,103
1969,4:7bf987aa-a3d8-4759-97a2-84de2407046d:139,104
1969,4:7bf987aa-a3d8-4759-97a2-84de2407046d:38,105
1970,4:7bf987aa-a3d8-4759-97a2-84de2407046d:41,106
1970,4:7bf987aa-a3d8-4759-97a2-84de2407046d:47,107
1970,4:7bf987aa-a3d8-4759-97a2-84de2407046d:63,108
1970,4:7bf987aa-a3d8-4759-97a2-84de2407046d:88,109
1971,4:7bf987aa-a3d8-4759-97a2-84de2407046d:114,110
1971,4:7bf987aa-a3d8-4759-97a2-84de2407046d:21,111
1971,4:7bf987aa-a3d8-4759-97a2-84de2407046d:43,112
1971,4:7bf987aa-a3d8-4759-97a2-84de2407046d:48,113
1971,4:7bf987aa-a3d8-4759-97a2-84de2407046d:64,114
1972,4:7bf987aa-a3d8-4759-97a2-84de2407046d:49,115
1973,4:7bf987aa-a3d8-4759-97a2-84de2407046d:69,116
1974,4:7bf987aa-a3d8-4759-97a2-84de2407046d:40,117
1974,4:7bf987aa-a3d8-4759-97a2-84de2407046d:93,118
1975,4:7bf987aa-a3d8-4759-97a2-84de2407046d:12,119
1976,4:7bf987aa-a3d8-4759-97a2-84de2407046d:113,120
1977,4:7bf987aa-a3d8-4759-97a2-84de2407046d:86,121
1978,4:7bf987aa-a3d8-4759-97a2-84de2407046d:8,122
1980,4:7bf987aa-a3d8-4759-97a2-84de2407046d:126,123
1981,4:7bf987aa-a3d8-4759-97a2-84de2407046d:117,124
1982,4:7bf987aa-a3d8-4759-97a2-84de2407046d:127,125
1985,4:7bf987aa-a3d8-4759-97a2-84de2407046d:122,126
1996,4:7bf987aa-a3d8-4759-97a2-84de2407046d:44,127
