value,node_id,position
1975,4:7bf987aa-a3d8-4759-97a2-84de2407046d:152,0
1986,4:7bf987aa-a3d8-4759-97a2-84de2407046d:29,1
1986,4:7bf987aa-a3d8-4759-97a2-84de2407046d:46,2
1990,4:7bf987aa-a3d8-4759-97a2-84de2407046d:78,3
1992,4:7bf987aa-a3d8-4759-97a2-84de2407046d:141,4
1992,4:7bf987aa-a3d8-4759-97a2-84de2407046d:15,5
1992,4:7bf987aa-a3d8-4759-97a2-84de2407046d:162,6
1992,4:7bf987aa-a3d8-4759-97a2-84de2407046d:97,7
1993,4:7bf987aa-a3d8-4759-97a2-84de2407046d:73,8
1995,4:7bf987aa-a3d8-4759-97a2-84de2407046d:100,9
1995,4:7bf987aa-a3d8-4759-97a2-84de2407046d:144,10
1996,4:7bf987aa-a3d8-4759-97a2-84de2407046d:147,11
1996,4:7bf987aa-a3d8-4759-97a2-84de2407046d:85,12
1996,4:7bf987aa-a3d8-4759-97a2-84de2407046d:95,13
1997,4:7bf987aa-a3d8-4759-97a2-84de2407046d:11,14
1997,4:7bf987aa-a3d8-4759-97a2-84de2407046d:52,15
1998,4:7bf987aa-a3d8-4759-97a2-84de2407046d:56,16
1998,4:7bf987aa-a3d8-4759-97a2-84de2407046d:67,17
1998,4:7bf987aa-a3d8-4759-97a2-84de2407046d:81,18
1999,4:7bf987aa-a3d8-4759-97a2-84de2407046d:0,19
1999,4:7bf987aa-a3d8-4759-97a2-84de2407046d:130,20
1999,4:7bf987aa-a3d8-4759-97a2-84de2407046d:157,21
1999,4:7bf987aa-a3d8-4759-97a2-84de2407046d:62,22
2000,4:7bf987aa-a3d8-4759-97a2-84de2407046d:150,23
2000,4:7bf987aa-a3d8-4759-97a2-84de2407046d:37,24
2000,4:7bf987aa-a3d8-4759-97a2-84de2407046d:87,25
2003,4:7bf987aa-a3d8-4759-97a2-84de2407046d:10,26
2003,4:7bf987aa-a3d8-4759-97a2-84de2407046d:154,27
2003,4:7bf987aa-a3d8-4759-97a2-84de2407046d:9,28
2004,4:7bf987aa-a3d8-4759-97a2-84de2407046d:161,29
2006,4:7bf987aa-a3d8-4759-97a2-84de2407046d:111,30
2006,4:7bf987aa-a3d8-4759-97a2-84de2407046d:116,31
2006,4:7bf987aa-a3d8-4759-97a2-84de2407046d:92,32
2007,4:7bf987aa-a3d8-4759-97a2-84de2407046d:159,33
2008,4:7bf987aa-a3d8-4759-97a2-84de2407046d:121,34
2008,4:7bf987aa-a3d8-4759-97a2-84de2407046d:137,35
2009,4:7bf987aa-a3d8-4759-97a2-84de2407046d:128,36
2012,4:7bf987aa-a3d8-4759-97a2-84de2407046d:105,37
