value,node_id,position
1902,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6138,0
1915,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4987,1
1916,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5092,2
1916,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7077,3
1917,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5457,4
1918,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2672,5
1919,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7413,6
1920,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4931,7
1920,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5676,8
1920,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6994,9
1921,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2673,10
1921,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7723,11
1921,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7729,12
1921,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7730,13
1921,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7733,14
1922,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1111,15
1922,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3755,16
1922,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5677,17
1922,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6416,18
1922,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7734,19
1922,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7736,20
1923,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2543,21
1923,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5386,22
1923,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5490,23
1924,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3504,24
1924,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4995,25
1924,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5114,26
1924,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5678,27
1924,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5680,28
1925,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2538,29
1925,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2612,30
1925,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2917,31
1925,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3013,32
1925,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3418,33
1925,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4930,34
1925,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5679,35
1925,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5681,36
1926,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2447,37
1926,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2806,38
1926,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3503,39
1926,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5119,40
1926,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:796,41
1926,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8800,42
1927,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1507,43
1927,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1591,44
1927,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1781,45
1927,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5293,46
1927,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5352,47
1927,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5401,48
1927,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5434,49
1927,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6937,50
1928,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1681,51
1928,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2669,52
1928,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4929,53
1928,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5683,54
1928,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5684,55
1929,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1508,56
1929,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1780,57
1929,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4661,58
1929,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5682,59
1929,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5685,60
1929,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6154,61
1929,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6991,62
1930,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1509,63
1930,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1779,64
1930,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3872,65
1930,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5230,66
1930,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5687,67
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1033,68
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1510,69
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1778,70
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2137,71
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2139,72
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2670,73
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4218,74
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4235,75
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4979,76
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5385,77
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5686,78
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5688,79
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6098,80
1931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7417,81
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1511,82
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1777,83
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2126,84
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2349,85
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3010,86
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5011,87
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5283,88
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5343,89
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5456,90
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5689,91
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5690,92
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6723,93
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:810,94
1932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8813,95
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1029,96
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1895,97
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3161,98
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3843,99
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5000,100
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5001,101
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5392,102
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5520,103
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5691,104
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5692,105
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6550,106
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7334,107
1933,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7652,108
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1776,109
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2498,110
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3963,111
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5693,112
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5694,113
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6092,114
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6295,115
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7299,116
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:745,117
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:747,118
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:789,119
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8220,120
1934,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8251,121
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1103,122
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1512,123
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3419,124
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5033,125
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5369,126
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5474,127
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6715,128
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:784,129
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7843,130
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7962,131
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:802,132
1935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8242,133
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1513,134
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1775,135
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2783,136
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3895,137
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3964,138
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4976,139
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4978,140
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5085,141
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5271,142
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5695,143
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5696,144
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5697,145
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5698,146
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6523,147
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:786,148
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:798,149
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8243,150
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8252,151
1936,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:9143,152
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1514,153
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2539,154
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2605,155
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2770,156
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3773,157
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3965,158
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4459,159
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4561,160
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4696,161
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:545,162
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5471,163
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5699,164
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5700,165
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5701,166
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6104,167
1937,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6241,168
